CodeId;CodeLanguage;CodeCountry;AccountType;ExternalCode;Caption;Created;CreatedBy;Modified;ModifiedBy;ValidFrom;ValidUntil;IncludedInDistribution;IsValidForOrder;IncludeZeroCashPosition;AccountLinkID;IncludeInIncomeCalendar;ExcludeFromValuation;EnumCaption;AccountSubTypeGroupID;IsForex;RiskPercentage;IncludeInMarginCoverage;FixCode;UserActionID;BuyingPowerCoverage;MarginCoverage;UniqueID;UpdateMask;IsTradingAccount;OverridesCodeId;PriorityForOrderDefaulting
1;EN;EX;1;v001;Savings account;1900-01-01 00:00:00.000;BAIInstaller;2013-06-11 16:38:41.000;eximius;NULL;NULL;1;1;1;0;1;2;Savingsaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:1;1048583;NULL;NULL;NULL
1;EN;GB;1;v001;Savings account;1900-01-01 00:00:00.000;BAIInstaller;2013-06-11 16:38:41.000;eximius;NULL;NULL;1;1;1;0;1;2;Savingsaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:1;1048583;NULL;NULL;NULL
1;FR;BE;1;v001;Compte épargne;1900-01-01 00:00:00.000;BAIInstaller;2013-06-11 16:38:41.000;eximius;NULL;NULL;1;1;1;0;1;2;Savingsaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:1;1048583;NULL;NULL;NULL
1;NL;BE;1;v001;Spaarrekening;1900-01-01 00:00:00.000;BAIInstaller;2013-06-11 16:38:41.000;eximius;NULL;NULL;1;1;1;0;1;2;Savingsaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:1;1048583;NULL;NULL;NULL
1;NL;NL;1;v001;Savings account;1900-01-01 00:00:00.000;BAIInstaller;2013-06-11 16:38:41.000;eximius;NULL;NULL;1;1;1;0;1;2;Savingsaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:1;1048583;NULL;NULL;NULL
2;EN;EX;1;0002;Term Account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:59:09.000;serv_eximius;NULL;NULL;1;2;2;0;1;2;TermAccount;3;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:2;7;NULL;NULL;NULL
2;EN;GB;1;0002;Term Account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:59:09.000;serv_eximius;NULL;NULL;1;2;2;0;1;2;TermAccount;3;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:2;7;NULL;NULL;NULL
2;FR;BE;1;0002;Compte à terme;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:59:09.000;serv_eximius;NULL;NULL;1;2;2;0;1;2;TermAccount;3;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:2;7;NULL;NULL;NULL
2;NL;BE;1;0002;Termijnrekening;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:59:09.000;serv_eximius;NULL;NULL;1;2;2;0;1;2;TermAccount;3;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:2;7;NULL;NULL;NULL
2;NL;NL;1;0002;Term Account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:59:09.000;serv_eximius;NULL;NULL;1;2;2;0;1;2;TermAccount;3;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:2;7;NULL;NULL;NULL
3;EN;EX;2;0003;Fictitious;1900-01-01 00:00:00.000;BAIInstaller;2011-10-17 12:16:27.000;eximius;NULL;NULL;2;2;NULL;0;1;1;Fictitious;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:3;7;NULL;NULL;NULL
3;EN;GB;2;0003;Fictitious;1900-01-01 00:00:00.000;BAIInstaller;2011-10-17 12:16:27.000;eximius;NULL;NULL;2;2;NULL;0;1;1;Fictitious;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:3;7;NULL;NULL;NULL
3;FR;BE;2;0003;Fictif;1900-01-01 00:00:00.000;BAIInstaller;2011-10-17 12:16:27.000;eximius;NULL;NULL;2;2;NULL;0;1;1;Fictitious;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:3;7;NULL;NULL;NULL
3;NL;BE;2;0003;Fictief;1900-01-01 00:00:00.000;BAIInstaller;2011-10-17 12:16:27.000;eximius;NULL;NULL;2;2;NULL;0;1;1;Fictitious;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:3;7;NULL;NULL;NULL
3;NL;NL;2;0003;Fictitious;1900-01-01 00:00:00.000;BAIInstaller;2011-10-17 12:16:27.000;eximius;NULL;NULL;2;2;NULL;0;1;1;Fictitious;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:3;7;NULL;NULL;NULL
4;EN;EX;2;0004;Real;1900-01-01 00:00:00.000;BAIInstaller;2007-12-14 15:08:21.000;serv_eximius;NULL;NULL;1;1;NULL;1;1;2;Real;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:4;7;NULL;NULL;NULL
4;EN;GB;2;0004;Real;1900-01-01 00:00:00.000;BAIInstaller;2007-12-14 15:08:21.000;serv_eximius;NULL;NULL;1;1;NULL;1;1;2;Real;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:4;7;NULL;NULL;NULL
4;FR;BE;2;0004;Réel;1900-01-01 00:00:00.000;BAIInstaller;2007-12-14 15:08:21.000;serv_eximius;NULL;NULL;1;1;NULL;1;1;2;Real;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:4;7;NULL;NULL;NULL
4;NL;BE;2;0004;Reëel;1900-01-01 00:00:00.000;BAIInstaller;2007-12-14 15:08:21.000;serv_eximius;NULL;NULL;1;1;NULL;1;1;2;Real;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:4;7;NULL;NULL;NULL
4;NL;NL;2;0004;Real;1900-01-01 00:00:00.000;BAIInstaller;2007-12-14 15:08:21.000;serv_eximius;NULL;NULL;1;1;NULL;1;1;2;Real;NULL;2;NULL;1;NULL;NULL;NULL;NULL;past:4;7;NULL;NULL;NULL
5;EN;EX;1;v005;Current account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;1;1;1;0;1;2;Currentaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:5;7;NULL;NULL;NULL
5;EN;GB;1;v005;Current account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;1;1;1;0;1;2;Currentaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:5;7;NULL;NULL;NULL
5;FR;BE;1;v005;Compte à vue;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;1;1;1;0;1;2;Currentaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:5;7;NULL;NULL;NULL
5;NL;BE;1;v005;Zichtrekening;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;1;1;1;0;1;2;Currentaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:5;7;NULL;NULL;NULL
5;NL;NL;1;v005;Current account;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;1;1;1;0;1;2;Currentaccount;1;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:5;7;NULL;NULL;NULL
6;EN;EX;1;0006;Loan;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:58:24.000;serv_eximius;NULL;NULL;2;2;2;0;1;2;Loan;5;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:6;7;NULL;NULL;NULL
6;EN;GB;1;0006;Loan;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:58:24.000;serv_eximius;NULL;NULL;2;2;2;0;1;2;Loan;5;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:6;7;NULL;NULL;NULL
6;FR;BE;1;0006;Emprunt;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:58:24.000;serv_eximius;NULL;NULL;2;2;2;0;1;2;Loan;5;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:6;7;NULL;NULL;NULL
6;NL;BE;1;0006;Lening;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:58:24.000;serv_eximius;NULL;NULL;2;2;2;0;1;2;Loan;5;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:6;7;NULL;NULL;NULL
6;NL;NL;1;0006;Loan;1900-01-01 00:00:00.000;BAIInstaller;2007-11-15 15:58:24.000;serv_eximius;NULL;NULL;2;2;2;0;1;2;Loan;5;2;NULL;1;NULL;NULL;100.000000000;100.000000000;past:6;7;NULL;NULL;NULL
7;EN;EX;1;v007;Income;2003-10-24 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;2;2;1;0;1;2;Income;1;2;NULL;1;NULL;NULL;NULL;NULL;past:7;7;NULL;NULL;NULL
7;EN;GB;1;v007;Income;2003-10-24 00:00:00.000;BAIInstaller;2007-11-15 15:17:24.183;serv_eximius;NULL;NULL;2;2;1;0;1;2;Income;1;2;NULL;1;NULL;NULL;NULL;NULL;past:7;7;NULL;NULL;NULL
