CodeId;CodeLanguage;CodeCountry;ExternalCode;MovementGroupID;MovementType;OptionDirection;ShortDescription;Caption;Created;CreatedBy;Modified;ModifiedBy;ValidFrom;ValidUntil;MovementSign;COAMovement;InternalCorrection;FeeCategory;EnumCaption;CustomField;IsIncome;CreateCashTransaction;FixCode;TaxLotProcessingTypeId;TaxableRPLCalculationDisabled;UniqueID;UpdateMask;IsPrepayment;MarketValueCalculationEnabled;RPLCalculationDisabled;CashTransactioncode;OverridesCodeId
1;EN;EX;3001;2;1;3;Coupons & Dividends Payment;Coupons & Dividends Payment;1900-01-01 00:00:00.000;GPA;2021-09-06 16:17:56.000;eXimiusSvcProd;NULL;NULL;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:1;-1;NULL;NULL;NULL;NULL;NULL
1;EN;GB;3001;2;1;3;Coupons & Dividends Payment;Coupons & Dividends Payment;1900-01-01 00:00:00.000;GPA;2021-09-06 16:17:56.000;eXimiusSvcProd;NULL;NULL;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:1;-1;NULL;NULL;NULL;NULL;NULL
1;FR;BE;3001;2;1;3;Payement coupons;Paiement Coupons & Dividendes;1900-01-01 00:00:00.000;GPA;2021-09-06 16:17:56.000;eXimiusSvcProd;NULL;NULL;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:1;-1;NULL;NULL;NULL;NULL;NULL
1;NL;BE;3001;2;1;3;Betaling coupons;Betaling coupons;1900-01-01 00:00:00.000;GPA;2007-12-14 14:00:58.000;serv_eximius;NULL;NULL;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:1;-1;NULL;NULL;NULL;NULL;NULL
1;NL;NL;3001;2;1;3;Coupons & Dividends Payment;Coupons & Dividends Payment;1900-01-01 00:00:00.000;GPA;2021-09-06 16:17:56.000;eXimiusSvcProd;NULL;NULL;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:1;-1;NULL;NULL;NULL;NULL;NULL
2;EN;EX;3002;2;1;3;Afknippen coupons;Afknippen coupons;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:2;-1;NULL;NULL;NULL;NULL;NULL
2;EN;GB;3002;2;1;3;Afknippen coupons;Afknippen coupons;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:2;-1;NULL;NULL;NULL;NULL;NULL
2;FR;BE;3002;2;1;3;Détachement coupons;Détachement coupons    EDv/n/i   User;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:2;-1;NULL;NULL;NULL;NULL;NULL
2;NL;BE;3002;2;1;3;Afknippen coupons;Afknippen coupons;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:2;-1;NULL;NULL;NULL;NULL;NULL
2;NL;NL;3002;2;1;3;Afknippen coupons;Afknippen coupons;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:2;-1;NULL;NULL;NULL;NULL;NULL
3;EN;EX;3003;3;1;3;Withdrawal;Withdrawal;1900-01-01 00:00:00.000;GPA;2010-02-23 12:45:07.000;eximius;NULL;NULL;3;0;1;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;pmc:3;-1;NULL;NULL;NULL;NULL;NULL
3;EN;GB;3003;3;1;3;Withdrawal;Withdrawal;1900-01-01 00:00:00.000;GPA;2010-02-23 12:45:07.000;eximius;NULL;NULL;3;0;1;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;pmc:3;-1;NULL;NULL;NULL;NULL;NULL
3;FR;BE;3003;3;1;3;Retrait;Retrait;1900-01-01 00:00:00.000;GPA;2008-05-15 17:34:57.000;serv_eximius;NULL;NULL;3;0;1;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;pmc:3;-1;NULL;NULL;NULL;NULL;NULL
3;NL;BE;3003;3;1;3;Opname;Opname;1900-01-01 00:00:00.000;GPA;2008-05-15 17:34:57.000;serv_eximius;NULL;NULL;3;0;1;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;pmc:3;-1;NULL;NULL;NULL;NULL;NULL
3;NL;NL;3003;3;1;3;Withdrawal;Withdrawal;1900-01-01 00:00:00.000;GPA;2010-02-23 12:45:07.000;eximius;NULL;NULL;3;0;1;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;pmc:3;-1;NULL;NULL;NULL;NULL;NULL
4;EN;EX;3004;3;1;3;Payment;Payment;1900-01-01 00:00:00.000;GPA;2010-02-23 12:46:50.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:4;-1;NULL;NULL;NULL;NULL;NULL
4;EN;GB;3004;3;1;3;Payment;Payment;1900-01-01 00:00:00.000;GPA;2010-02-23 12:46:50.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:4;-1;NULL;NULL;NULL;NULL;NULL
4;FR;BE;3004;3;1;3;Paiement;Paiement;1900-01-01 00:00:00.000;GPA;2010-02-23 12:47:43.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:4;-1;NULL;NULL;NULL;NULL;NULL
4;NL;BE;3004;3;1;3;Betaling;Betaling;1900-01-01 00:00:00.000;GPA;2012-10-09 15:16:21.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:4;-1;NULL;NULL;NULL;NULL;NULL
4;NL;NL;3004;3;1;3;Payment;Payment;1900-01-01 00:00:00.000;GPA;2010-02-23 12:46:50.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:4;-1;NULL;NULL;NULL;NULL;NULL
5;EN;EX;3005;4;1;1;Opening Buy Option;Opening Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:5;-1;NULL;NULL;NULL;NULL;NULL
5;EN;GB;3005;4;1;1;Opening Buy Option;Opening Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:5;-1;NULL;NULL;NULL;NULL;NULL
5;FR;BE;3005;4;1;1;Achat ouvert option;Achat Ouvert Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:5;-1;NULL;NULL;NULL;NULL;NULL
5;NL;BE;3005;4;1;1;Aankoop Optie Opening;Aankoop Optie Opening;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:5;-1;NULL;NULL;NULL;NULL;NULL
5;NL;NL;3005;4;1;1;Opening Buy Option;Opening Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:5;-1;NULL;NULL;NULL;NULL;NULL
6;EN;EX;3006;4;1;1;Closing Buy Option;Closing Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:6;-1;NULL;NULL;NULL;NULL;NULL
6;EN;GB;3006;4;1;1;Closing Buy Option;Closing Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:6;-1;NULL;NULL;NULL;NULL;NULL
6;FR;BE;3006;4;1;1;Achat clôturé option;Achat Clôturé Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:6;-1;NULL;NULL;NULL;NULL;NULL
6;NL;BE;3006;4;1;1;Verkoop Optie Sluiting;Verkoop Optie Sluiting;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:6;-1;NULL;NULL;NULL;NULL;NULL
6;NL;NL;3006;4;1;1;Closing Buy Option;Closing Buy Option;1900-01-01 00:00:00.000;GPA;2024-05-29 14:58:39.000;MasterConfig;NULL;1900-01-01 00:00:00.000;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:6;-1;NULL;NULL;NULL;NULL;NULL
7;EN;EX;3007;4;1;2;Opening Sell Option;Opening Sell Option;1900-01-01 00:00:00.000;GPA;2010-02-23 12:54:09.000;eximius;NULL;NULL;3;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pmc:7;-1;NULL;NULL;NULL;NULL;NULL
